카테고리명,채널명,카드명,난이도,인정학습시간(시간),이수자수,평점,직무,Skill set,URL
일하는 방식,프로젝트 관리,고객 문제에 집중하여 고객 중심 제품/기술 개발하기,Intermediate,1.7,145,4.2,Project Management,"Application PM, Infra PM, Solution PM",https://namu.wiki/w/%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC
일하는 방식,프로젝트 관리,리스크를 최소화하고 고객을 확보하는 MVP,Intermediate,1.7,79,4.2,Project Management,"Application PM, Infra PM, Solution PM",https://namu.wiki/w/%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC
일하는 방식,프로젝트 관리,처음부터 끝까지 고객에 집중하는 워킹백워드 프로세스 ,Intermediate,4,92,4.2,Project Management,"Application PM, Infra PM, Solution PM",https://namu.wiki/w/%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC
일하는 방식,프로젝트 관리,"빠르고 유연하게, 스크럼 프레임워크",Intermediate,1.4,66,4.1,Project Management,"Application PM, Infra PM, Solution PM",https://namu.wiki/w/%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC
일하는 방식,프로젝트 관리,"내 업무의 모든 것, 업무 정체 파악하기",Intermediate,2.2,249,4.2,Project Management,"Application PM, Infra PM, Solution PM",https://namu.wiki/w/%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC
일하는 방식,프로젝트 관리,성공적 의사결정을 위한 리스크 관리 전략 ,Advanced,1,89,4.2,Project Management,"Application PM, Infra PM, Solution PM",https://namu.wiki/w/%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC
일하는 방식,프로젝트 관리,"리스크, 전략적으로 관리하자. ",Advanced,2.4,66,4.3,Project Management,"Application PM, Infra PM, Solution PM",https://namu.wiki/w/%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC
일하는 방식,프로젝트 관리,프로젝트 성패를 좌우하는 탄탄한 리스크 관리 기법,Basic,1.8,72,4.2,Project Management,"Application PM, Infra PM, Solution PM",https://namu.wiki/w/%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC
일하는 방식,프로젝트 관리,문제를 미리 방지하는 리스크 관리 개념과 실습 ,Intermediate,7,32,4.2,Project Management,"Application PM, Infra PM, Solution PM",https://namu.wiki/w/%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC
일하는 방식,프로젝트 관리,"가장 가까운 고객, 구성원을 통해 효율 key 찾기",Basic,2.9,174,4.2,Project Management,"Application PM, Infra PM, Solution PM",https://namu.wiki/w/%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC
일하는 방식,프로젝트 관리,프로세스 맵핑으로 효율을 위한 지도 그리기,Intermediate,1.5,195,4.2,Project Management,"Application PM, Infra PM, Solution PM",https://namu.wiki/w/%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC
일하는 방식,프로젝트 관리,네 탓? 내 탓? 업무 선후관계 파악을 통한 프로세스 개선,Intermediate,1.9,99,4.2,Project Management,"Application PM, Infra PM, Solution PM",https://namu.wiki/w/%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC
