학부,표준과정,사업별 교육체계,교육유형,학습유형,교육과정명,공개여부,학습시간,특화 직무 및 Skill set,추천 직무 및 Skill set,공통 필수 직무 및 Skill set,,URL
Cloud,Cache/Queue 활용,,사내과정,오프라인집합,Building Streaming Data Analytics Solution on AWS,공개,8,Cloud/Infra - Middleware/Database,Architect - Technical Archi.; Cloud/Infra - System/Network; PM - Infra PM,,,https://academy.samsung.com/lecture/3qedn0t4
Cloud,네트워크 공통,,사내과정,오프라인집합,Networking Essential for Cloud Application on AWS,공개,8,Architect - Technical Archi.; Cloud/Infra - System/Network,Software - Front-end,,,https://edu.samsung.com/course/tt7s394c
Cloud,컨테이너 플랫폼 활용,반도체,사내과정,오프라인집합,Hynix Cloud Platform 이해 및 활용,공개,8,Cloud/Infra - System/Network,Architect - Application Archi.; Cloud/Infra - Middleware/Database; Software - Front-end,,,https://learning.samsung.com/course/lpb4hepr
Cloud,AI on Cloud,,사내과정,오프라인집합,Generative AI on AWS,공개,8,Cloud/Infra - System/Network,AIX - AI/Data Dev.; Architect - Technical Archi.; Biz. Consulting - ERP; PM - Infra PM; Solution - ERP Dev.,,,https://samsungu.ac.kr/program/h7rb8xfh
Cloud,DBMS 활용,,사내과정,오프라인집합,Database 성능 최적화,공개,16,Cloud/Infra - Middleware/Database,Architect - Technical Archi.; Cloud/Infra - System/Network,,,https://samsungu.ac.kr/education/09ftzfzx
Cloud,Cache/Queue 활용,,사내과정,오프라인집합,Kafka 기본,공개,8,Cloud/Infra - Middleware/Database,Architect - Technical Archi.; Cloud/Infra - System/Network; PM - Infra PM,,,https://learning.samsung.com/course/c91bd16c
Cloud,네트워크 공통,,사내과정,오프라인집합,On-Premise DCI 네트워크 구성(EVPN),공개,16,Architect - Technical Archi.; Cloud/Infra - System/Network,Software - Front-end,,,https://academy.samsung.com/course/ttzohws9
Cloud,네트워크 설계,,사내과정,오프라인집합,Cloud 표준 아키텍처 기반 네트워크 설계(AWS기반),공개,24,Architect - Technical Archi.; Cloud/Infra - System/Network,Cloud/Infra - Cyber Security,,,https://samsungu.ac.kr/program/lf2d3ka9
Cloud,Cloud Native Archi. 실무,,사내과정,오프라인집합,Container Orchestration(Docker & Kubernetes) on AWS,공개,16,Architect - Technical Archi.; Cloud/Infra - System/Network,PM - Infra PM,,,https://edu.samsung.com/training/ziq5kojr
Cloud,컨테이너 DevOps,,사내과정,오프라인집합,DevOps를 위한 Kubernetes 실무,공개,8,Cloud/Infra - System/Network,,,,https://learning.samsung.com/training/byswoor0
